name,state_code,state_name,country,lat,lng,population
Jersey City,NJ,New Jersey,US,40.72816,-74.07764,264290
Reno,NV,Nevada,US,39.52963,-119.8138,264165
Chandler,AZ,Arizona,US,33.30616,-111.84125,260828
Fort Wayne,IN,Indiana,US,41.1306,-85.12886,260326
Buffalo,NY,New York,US,42.88645,-78.87837,258071
Durham,NC,North Carolina,US,35.99403,-78.89862,257636
St. Petersburg,FL,Florida,US,27.77086,-82.67927,257083
Irvine,CA,California,US,33.66946,-117.82311,256927
Kitchener,ON,Ontario,CA,43.42537,-80.5112,256885
Laredo,TX,Texas,US,27.50641,-99.50754,256153
Burnaby,BC,British Columbia,CA,49.26636,-122.95263,249125
Lubbock,TX,Texas,US,33.57786,-101.85517,249042
Gilbert,AZ,Arizona,US,33.35283,-111.78903,247542
Tri-Cities,WA,Washington,US,46.2454,-119.19617,244036
Winston-Salem,NC,North Carolina,US,36.09986,-80.24422,241218
Glendale,AZ,Arizona,US,33.53865,-112.18599,240126
Norfolk,VA,Virginia,US,36.84681,-76.28522,238005
Hialeah,FL,Florida,US,25.8576,-80.27811,237069
Garland,TX,Texas,US,32.91262,-96.63888,236897
Scottsdale,AZ,Arizona,US,33.50921,-111.89903,236839
Irving,TX,Texas,US,32.81402,-96.94889,236607
Boise,ID,Idaho,US,43.6135,-116.20345,235684
Chesapeake,VA,Virginia,US,36.81904,-76.27494,235429
North Las Vegas,NV,Nevada,US,36.19886,-115.1175,234807
Fremont,CA,California,US,37.54827,-121.98857,232206
Windsor,ON,Ontario,CA,42.30008,-83.01654,229660
Spokane,WA,Washington,US,47.65966,-117.42908,229447
Longueuil,QC,Quebec,CA,45.5152,-73.46818,229330
Baton Rouge,LA,Louisiana,US,30.44332,-91.18747,227470
Upper West Side,NY,New York,US,40.78705,-73.97542,226989
Richmond,VA,Virginia,US,37.55376,-77.46026,226610
Regina,SK,Saskatchewan,CA,50.45008,-104.6178,226404
Paradise,NV,Nevada,US,36.09719,-115.14666,223167
Tacoma,WA,Washington,US,47.25288,-122.44429,222906
Jamaica,NY,New York,US,40.69149,-73.80569,216866
San Bernardino,CA,California,US,34.10834,-117.28977,216108
Salt Lake City,UT,Utah,US,40.76078,-111.89105,215548
Huntsville,AL,Alabama,US,34.7304,-86.58594,215006
Des Moines,IA,Iowa,US,41.60054,-93.60911,214133
Oakville,ON,Ontario,CA,43.45011,-79.68292,213759
Fontana,CA,California,US,34.09223,-117.43505,212704
Modesto,CA,California,US,37.6391,-120.99688,211266
Richmond,BC,British Columbia,CA,49.17003,-123.13683,209937
Rochester,NY,New York,US,43.15478,-77.61556,209802
Maryvale,AZ,Arizona,US,33.50199,-112.17765,208189
Arlington,VA,Virginia,US,38.88101,-77.10428,207627
Oxnard,CA,California,US,34.1975,-119.17705,207254
Columbus,GA,Georgia,US,32.46098,-84.98771,206922
Worcester,MA,Massachusetts,US,42.26259,-71.80229,206518
Moreno Valley,CA,California,US,33.93752,-117.23059,204198
Little Rock,AR,Arkansas,US,34.74648,-92.28959,202591
Richmond Hill,ON,Ontario,CA,43.87111,-79.43725,202022
Fayetteville,NC,North Carolina,US,35.05266,-78.87836,201963
Huntington Beach,CA,California,US,33.6603,-117.99923,201899
Tallahassee,FL,Florida,US,30.43826,-84.28073,201731
Yonkers,NY,New York,US,40.9304,-73.89789,201116
Glendale,CA,California,US,34.14251,-118.25508,201020
Cypress,TX,Texas,US,29.96911,-95.69717,200839
Aurora,IL,Illinois,US,41.76058,-88.32007,200661
Amarillo,TX,Texas,US,35.222,-101.8313,198645
Akron,OH,Ohio,US,41.08144,-81.51901,197542
Vancouver,WA,Washington,US,45.63873,-122.66149,196442
Birmingham,AL,Alabama,US,33.52066,-86.80249,196357
Montgomery,AL,Alabama,US,32.36681,-86.29997,195287
Grand Rapids,MI,Michigan,US,42.96336,-85.66809,195097
Peoria,AZ,Arizona,US,33.5806,-112.23738,190985
Providence,RI,Rhode Island,US,41.82399,-71.41283,190934
Knoxville,TN,Tennessee,US,35.96064,-83.92074,190740
Sunrise Manor,NV,Nevada,US,36.21108,-115.07306,189372
Grand Prairie,TX,Texas,US,32.74596,-96.99778,187809
Shreveport,LA,Louisiana,US,32.52515,-93.75018,187593
Burlington,ON,Ontario,CA,43.38621,-79.83713,186948
Brownsville,TX,Texas,US,25.90175,-97.49748,186738
Overland Park,KS,Kansas,US,38.98223,-94.67079,186515
Newport News,VA,Virginia,US,36.98038,-76.42975,186247
Mobile,AL,Alabama,US,30.69436,-88.04305,183289
Fort Lauderdale,FL,Florida,US,26.12231,-80.14338,183146
Santa Clarita,CA,California,US,34.39166,-118.54259,182371
Chattanooga,TN,Tennessee,US,35.04563,-85.30968,181099
Nepean,ON,Ontario,CA,45.33619,-75.7225,180000
East Flatbush,NY,New York,US,40.65371,-73.93042,178464
Spring Valley,NV,Nevada,US,36.10803,-115.245,178395
Santa Rosa,CA,California,US,38.44047,-122.71443,178127
Eugene,OR,Oregon,US,44.05207,-123.08675,176654
Tempe,AZ,Arizona,US,33.41477,-111.90931,175826
Oceanside,CA,California,US,33.19587,-117.37948,175691
Salem,OR,Oregon,US,44.9429,-123.0351,175535
Garden Grove,CA,California,US,33.77391,-117.94145,175393
Oshawa,ON,Ontario,CA,43.90012,-78.84957,175383
Rancho Cucamonga,CA,California,US,34.1064,-117.59311,175236
Cape Coral,FL,Florida,US,26.56285,-81.94953,175229
East New York,NY,New York,US,40.66677,-73.88236,173198
Sioux Falls,SD,South Dakota,US,43.54369,-96.72796,171544
Ontario,CA,California,US,34.06334,-117.65089,171214
Fort Collins,CO,Colorado,US,40.58526,-105.08442,170924
Springfield,MO,Missouri,US,37.21533,-93.29824,170188
Hollywood,CA,California,US,34.09834,-118.32674,167664
Elk Grove,CA,California,US,38.4088,-121.37162,166913
Clarksville,TN,Tennessee,US,36.52977,-87.35945,166722
Pembroke Pines,FL,Florida,US,26.00315,-80.22394,166611
Greater Sudbury,ON,Ontario,CA,46.49,-80.99001,166004
Deer Valley,AZ,Arizona,US,33.68393,-112.13488,165656
Murfreesboro,TN,Tennessee,US,35.84562,-86.39027,165430
Port Saint Lucie,FL,Florida,US,27.29393,-80.35033,164603
Corona,CA,California,US,33.87529,-117.56644,164226
McKinney,TX,Texas,US,33.19762,-96.61527,162898
Lancaster,CA,California,US,34.69804,-118.13674,161103
Cary,NC,North Carolina,US,35.79154,-78.78112,159769
Alexandria,VA,Virginia,US,38.80484,-77.04692,159467
Newton,BC,British Columbia,CA,49.13333,-122.85,159390
Tempe Junction,AZ,Arizona,US,33.41421,-111.94348,158368
Palmdale,CA,California,US,34.57943,-118.11646,158351
Hayward,CA,California,US,37.66882,-122.0808,158289
Salinas,CA,California,US,36.67774,-121.6555,157380
Sunnyvale,CA,California,US,37.36883,-122.03635,155805
Frisco,TX,Texas,US,33.15067,-96.82361,154407
Springfield,MA,Massachusetts,US,42.10148,-72.58981,154341
East Chattanooga,TN,Tennessee,US,35.06535,-85.24912,154024
Pasadena,TX,Texas,US,29.69106,-95.2091,153784
Jackson,MS,Mississippi,US,32.29876,-90.18481,153701
Pomona,CA,California,US,34.05529,-117.75228,153266
Kansas City,KS,Kansas,US,39.11417,-94.62746,152933
Washington Heights,NY,New York,US,40.8501,-73.93541,152613
Lakewood,CO,Colorado,US,39.70471,-105.08137,152597
Escondido,CA,California,US,33.11921,-117.08642,151038
Astoria,NY,New York,US,40.77205,-73.93014,150165
Gloucester,ON,Ontario,CA,45.35,-75.63333,150012
Hollywood,FL,Florida,US,26.0112,-80.14949,149728
Borough Park,NY,New York,US,40.63399,-73.99681,149248
Saguenay,QC,Quebec,CA,48.41675,-71.06573,148886
